,Unnamed: 0,SGDID,Pathway,PathwayID
237,237,S000001507,"superpathway of histidine, purine, and pyrimidine biosynthesis",PRPP-PWY-1
238,238,S000001507,superpathway of pyrimidine ribonucleotides de novo biosynthesis,PWY0-162
239,239,S000004123,phosphatidylcholine biosynthesis I,PWY3O-450
240,240,S000004123,superpathway of phosphatidic acid and phospholipid biosynthesis,PHOS-PWY
241,241,S000004123,superpathway of phospholipid biosynthesis,PWY3O-2
242,242,S000004402,inositol phosphate biosynthesis,PWY3O-402
243,243,S000004294,L-homocysteine biosynthesis,PWY-5344
244,244,S000004294,superpathway of methionine biosynthesis,PWY3O-954
245,245,S000004294,superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae),PWY-821-1
246,246,S000004294,superpathway of threonine and methionine biosynthesis,P4-PWY-1
247,247,S000000452,L-histidine biosynthesis,HISTSYN-PWY
248,248,S000000452,"superpathway of histidine, purine, and pyrimidine biosynthesis",PRPP-PWY-1
249,249,S000001116,L-tryptophan degradation III (eukaryotic),TRYPTOPHAN-DEGRADATION-1
250,250,S000001116,NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde,PWY-5653
251,251,S000001116,NAD de novo biosynthesis II (from tryptophan),NADSYN-PWY
252,252,S000001116,NAD salvage pathway V (PNC V cycle),PWY3O-4107
