,Unnamed: 0,SGDID,Pathway,PathwayID
1386,1386,S000004199,salvage pathways of purines and their nucleosides,PWY3O-1
1387,1387,S000004199,superpathway of NAD biosynthesis,PWY3O-4158
1388,1388,S000004199,superpathway of purine biosynthesis and salvage pathways,PWY3O-285
1389,1389,S000002457,glycolysis I (from glucose 6-phosphate),GLYCOLYSIS
1390,1390,S000002457,superpathway of glucose fermentation,GLUCFERMEN-PWY
1391,1391,S000003839,L-tryptophan degradation III (eukaryotic),TRYPTOPHAN-DEGRADATION-1
1392,1392,S000003839,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,PWY-5651
1393,1393,S000003839,NAD de novo biosynthesis II (from tryptophan),NADSYN-PWY
1394,1394,S000003839,superpathway of NAD biosynthesis,PWY3O-4158
1395,1395,S000002994,L-tryptophan biosynthesis,TRPSYN-PWY-1
1396,1396,S000002994,superpathway of aromatic amino acid biosynthesis,COMPLETE-ARO-PWY-1
1397,1397,S000002994,superpathway of chorismate metabolism,ALL-CHORISMATE-PWY-1
1398,1398,S000002261,UDP-N-acetylglucosamine biosynthesis,UDPNAGSYN-YEAST-PWY
1399,1399,S000003702,"aerobic respiration, electron transport chain",PWY3O-188
1400,1400,S000000750,"aerobic respiration, electron transport chain",PWY3O-188
1401,1401,S000001929,"aerobic respiration, electron transport chain",PWY3O-188
1402,1402,S000001170,salvage pathways of pyrimidine ribonucleotides,YEAST-RNT-SALV
1403,1403,S000000412,superpathway of allantoin degradation in yeast,ALLANTOINDEG-PWY
1404,1404,S000005295,salvage pathways of pyrimidine deoxyribonucleotides,YEAST-SALV-PYRMID-DNTP
1405,1405,S000005295,salvage pathways of pyrimidine ribonucleotides,YEAST-RNT-SALV
1406,1406,S000001518,dolichyl glucosyl phosphate biosynthesis,PWY3O-1565
1407,1407,S000001518,glycogen biosynthesis,PWY3O-4031
1408,1408,S000001777,siroheme biosynthesis,PWY-5194-1
1409,1409,S000001777,superpathway of heme and siroheme biosynthesis,PWY3O-69
1410,1410,S000002454,heme b biosynthesis I (aerobic),HEME-BIOSYNTHESIS-II
1411,1411,S000002454,superpathway of heme and siroheme biosynthesis,PWY3O-69
1412,1412,S000005804,superpathway of heme and siroheme biosynthesis,PWY3O-69
1413,1413,S000005804,tetrapyrrole biosynthesis,PWY3O-50
1414,1414,S000001361,glycogen catabolism,GLYCOCAT-YEAST-PWY
1415,1415,S000003155,"aerobic respiration, electron transport chain",PWY3O-188
1416,1416,S000000456,de novo biosynthesis of pyrimidine deoxyribonucleotides,YEAST-DE-NOVO-PYRMID-DNT
1417,1417,S000001422,fatty acid oxidation pathway,YEAST-FAO-PWY
1418,1418,S000003624,L-arginine biosynthesis II (acetyl cycle),ARGSYNBSUB-PWY
1419,1419,S000003624,citrulline biosynthesis,CITRUL-BIO2-PWY
